point_format:[x,y]
fig[0]
[920.339,613.96]
[818.465,613.97]
[715.832,613.957]
[613.405,613.963]
[511.499,613.973]
[408.96,613.974]
[307.166,613.958]
[204.537,613.972]
[102.022,613.994]
[920.337,511.474]
[818.462,511.472]
[715.828,511.471]
[613.403,511.473]
[511.5,511.473]
[408.962,511.472]
[307.169,511.472]
[204.536,511.472]
[102.098,511.475]
[920.337,408.879]
[818.463,408.916]
[715.825,408.878]
[613.414,408.859]
[511.501,408.915]
[408.96,408.917]
[307.169,408.881]
[204.537,408.917]
[102.025,408.904]
[920.343,307.122]
[818.462,307.082]
[715.83,307.124]
[613.413,307.141]
[511.501,307.084]
[408.961,307.084]
[307.169,307.123]
[204.539,307.081]
[102.125,307.178]
[920.339,204.525]
[818.464,204.526]
[715.83,204.527]
[613.402,204.525]
[511.5,204.527]
[408.959,204.526]
[307.168,204.527]
[204.538,204.525]
[102.037,204.527]
[920.337,102.041]
[818.463,102.027]
[715.829,102.043]
[613.4,102.041]
[511.501,102.028]
[408.961,102.028]
[307.172,102.044]
[204.536,102.028]
fig[1]
[920.339,613.96]
[818.465,613.97]
[715.832,613.957]
[613.405,613.963]
[511.499,613.973]
[408.96,613.974]
[307.166,613.958]
[204.537,613.972]
[102.022,613.994]
[920.337,511.474]
[818.462,511.472]
[715.828,511.471]
[613.403,511.473]
[511.5,511.473]
[408.962,511.472]
[307.169,511.472]
[204.536,511.472]
[102.098,511.475]
[920.337,408.879]
[818.463,408.916]
[715.825,408.878]
[613.414,408.859]
[511.501,408.915]
[408.96,408.917]
[307.169,408.881]
[204.537,408.917]
[102.025,408.904]
[920.343,307.122]
[818.462,307.082]
[715.83,307.124]
[613.413,307.141]
[511.501,307.084]
[408.961,307.084]
[307.169,307.123]
[204.539,307.081]
[102.125,307.178]
[920.339,204.525]
[818.464,204.526]
[715.83,204.527]
[613.402,204.525]
[511.5,204.527]
[408.959,204.526]
[307.168,204.527]
[204.538,204.525]
[102.037,204.527]
[920.337,102.041]
[818.463,102.027]
[715.829,102.043]
[613.4,102.041]
[511.501,102.028]
[408.961,102.028]
[307.172,102.044]
[204.536,102.028]
fig[2]
[920.339,613.96]
[818.465,613.97]
[715.832,613.957]
[613.405,613.963]
[511.499,613.973]
[408.96,613.974]
[307.166,613.958]
[204.537,613.972]
[102.022,613.994]
[920.337,511.474]
[818.462,511.472]
[715.828,511.471]
[613.403,511.473]
[511.5,511.473]
[408.962,511.472]
[307.169,511.472]
[204.536,511.472]
[102.098,511.475]
[920.337,408.879]
[818.463,408.916]
[715.825,408.878]
[613.414,408.859]
[511.501,408.915]
[408.96,408.917]
[307.169,408.881]
[204.537,408.917]
[102.025,408.904]
[920.343,307.122]
[818.462,307.082]
[715.83,307.124]
[613.413,307.141]
[511.501,307.084]
[408.961,307.084]
[307.169,307.123]
[204.539,307.081]
[102.125,307.178]
[920.339,204.525]
[818.464,204.526]
[715.83,204.527]
[613.402,204.525]
[511.5,204.527]
[408.959,204.526]
[307.168,204.527]
[204.538,204.525]
[102.037,204.527]
[920.337,102.041]
[818.463,102.027]
[715.829,102.043]
[613.4,102.041]
[511.501,102.028]
[408.961,102.028]
[307.172,102.044]
[204.536,102.028]
